Years,"Permanent population at the end of the year (10,000 people)","Urban population (10,000 people)","Rural population (10,000 people)",Birth rate (%),Population death rate (%),Natural population growth rate (%),Unnamed: 7
2022,8515,6337.0,2178.0,5.23,7.04,-1.81,
2021,8505,6289.0,2216.0,5.65,6.77,-1.12,
2020,8477,6226.0,2251.0,5.65,6.77,-1.12,
2019,8469,6137.0,2332.0,9.12,7.04,2.08,
2018,8446,6013.0,2433.0,9.32,7.03,2.29,
2017,8423,5911.0,2512.0,9.71,7.03,2.68,
2016,8381,5777.0,2604.0,9.76,7.03,2.73,
2015,8315,5612.0,2703.0,9.05,7.03,2.02,
2014,8281,5441.0,2840.0,9.45,7.02,2.43,
2013,8192,5275.0,2917.0,9.44,7.01,2.43,
2012,8120,5116.0,3004.0,9.44,6.99,2.45,
2011,8023,4975.0,3048.0,9.59,6.98,2.61,
2010,7869,4767.0,3102.0,9.73,6.88,2.85,
2009,7810,4343.0,3468.0,9.55,6.99,2.56,
2008,7762,4215.0,3547.0,9.34,7.04,2.3,
2007,7723,4109.0,3614.0,9.37,7.07,2.3,
2006,7656,3973.0,3682.0,9.36,7.08,2.28,
2005,7588,3832.0,3756.0,9.24,7.03,2.21,
2004,7523,3832.0,3756.0,9.45,7.2,2.25,
2003,7458,3832.0,3756.0,9.04,7.03,2.01,
2002,7406,3832.0,3756.0,9.17,6.99,2.18,
